,Mid_kept,activation,epochs,batch_size,neurons,consensus,depth,accuracy
310,00000025846,0000000tanh,00000000250,00000000750,00000000008,consensusH5,00000000009,0.993849379
311,00000025846,0000000tanh,00000000250,00000001000,00000000008,consensusH5,00000000009,0.994055198
312,00000025846,0000000tanh,00000000500,00000000750,00000000008,consensusH5,00000000003,0.993423383
313,00000025846,0000000tanh,00000000500,00000003500,00000000005,consensusH5,00000000003,0.993380305
314,00000025846,0000000tanh,00000000500,00000003500,00000000008,consensusH5,00000000003,0.993399451
315,00000025846,0000000tanh,00000000500,00000000500,00000000008,consensusH5,00000000009,0.993452102
316,00000025846,0000000tanh,00000000250,00000000500,00000000005,consensusH6,00000000009,0.994222724
317,00000025846,0000000tanh,00000000500,00000001000,00000000008,consensusH5,00000000003,0.993241497
318,00000025846,0000000tanh,00000000250,00000003500,00000000008,consensusH5,00000000003,0.992528312
320,00000025846,0000000tanh,00000000100,00000000750,00000000011,consensusH6,00000000009,0.993303721
321,00000025846,0000000tanh,00000000250,00000001000,00000000011,consensusH5,00000000003,0.993442529
322,00000025846,0000000tanh,00000000100,00000001000,00000000011,consensusH5,00000000003,0.992647974
323,00000025846,0000000tanh,00000000100,00000000750,00000000011,consensusH5,00000000003,0.992485234
324,00000025846,0000000tanh,00000000500,00000000500,00000000011,consensusH5,00000000003,0.993370732
325,00000025846,0000000tanh,00000000500,00000000750,00000000011,consensusH5,00000000009,0.993710571
326,00000025846,0000000tanh,00000000500,00000003500,00000000008,consensusH6,00000000009,0.994170073
327,00000025846,0000000relu,00000001000,00000000750,00000000009,0consensus0,00000000003,0.992145394
328,00000025846,0000000relu,00000000100,00000001000,00000000008,consensusH6,00000000015,0.992930376
329,00000025846,0000000tanh,00000000500,00000000500,00000000005,consensusH6,00000000009,0.99399776
330,00000025846,0000000selu,00000000100,00000001000,00000000005,consensusH5,00000000015,0.993566977
331,00000025846,0000000tanh,00000000250,00000001000,00000000008,consensusH5,00000000003,0.993691426
332,00000025846,0000000selu,00000000250,00000001000,00000000005,consensusH5,00000000003,0.993610055
333,00000025846,0000000tanh,00000000250,00000003500,00000000011,consensusH5,00000000003,0.993021319
334,00000025846,0000000selu,00000000250,00000003500,00000000005,consensusH5,00000000015,0.994059984
